city,date,weather,temp,high_temp,low_temp
城区,14日（今天）,多云转晴,24/11℃,24,11
城区,15日（明天）,晴转多云,31/15℃,31,15
城区,16日（后天）,多云,26/12℃,26,12
城区,14日（今天）,晴,21/12℃,21,12
城区,15日（明天）,晴转阴,24/14℃,24,14
城区,16日（后天）,阴转多云,27/18℃,27,18
广州> 城区,14日（今天）,多云,29/13℃,29,13
广州> 城区,15日（明天）,晴转多云,30/17℃,30,17
广州> 城区,16日（后天）,多云,28/19℃,28,19
深圳> 城区,14日（今天）,多云,28/16℃,28,16
深圳> 城区,15日（明天）,多云,30/17℃,30,17
深圳> 城区,16日（后天）,晴转多云,28/20℃,28,20
成都> 城区,14日（今天）,阴,29/12℃,29,12
成都> 城区,15日（明天）,阴,29/15℃,29,15
成都> 城区,16日（后天）,多云,31/16℃,31,16
城区,14日（今天）,晴转多云,29/16℃,29,16
城区,15日（明天）,多云转阴,29/17℃,29,17
城区,16日（后天）,多云,31/19℃,31,19
武汉> 城区,14日（今天）,晴,25/10℃,25,10
武汉> 城区,15日（明天）,晴,28/13℃,28,13
武汉> 城区,16日（后天）,阴,27/17℃,27,17
杭州> 城区,14日（今天）,晴,24/12℃,24,12
杭州> 城区,15日（明天）,多云,26/16℃,26,16
杭州> 城区,16日（后天）,多云转晴,29/18℃,29,18
南京> 城区,14日（今天）,晴,22/11℃,22,11
南京> 城区,15日（明天）,多云,27/16℃,27,16
南京> 城区,16日（后天）,多云,28/19℃,28,19
西安> 城区,14日（今天）,晴转多云,29/14℃,29,14
西安> 城区,15日（明天）,多云,30/16℃,30,16
西安> 城区,16日（后天）,多云,34/19℃,34,19
